seed,crate,solo,closest_pinch_m,fine_kernel,peak_lift_m,held_lift_m,in_pinch_frac,fell,run,arm,crew,iteration,vision
1,0,0,0.08314775756033586,0.4001595124169869,0.04969327508476634,0.04739486305413776,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
1,1,0,0.06916909489137088,0.4799493901116664,0.018495055454690962,0.01107927439801526,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
2,0,0,0.076266184684842,0.43813696357703846,0.04605593738331748,0.040822061616474975,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
2,1,0,0.0705968576771865,0.47132300211950207,0.04359306466104859,0.04355646877934549,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
3,0,0,0.08325632360004609,0.3995806346919484,0.060649513609446815,0.057208823806431275,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
3,1,0,0.08788261239561605,0.3754959365985354,0.05735524826897867,0.057302157938367154,0.965,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
4,0,0,0.07929527607346407,0.42110844772925093,0.04328878477152556,0.04328878477152556,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
4,1,0,0.08545281433833547,0.3880037562328791,0.057562795229996716,0.05712453551729679,0.965,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
5,0,0,0.08757905737658053,0.37704143269273305,0.0589033652113298,0.030364074371543343,0.205,1,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
5,1,0,0.07847757705103203,0.42565694847566526,0.03358872352095138,0.02859766738980357,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
6,0,0,0.08295148783672253,0.40120762466466964,0.034580120940548686,0.03445050463641097,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
6,1,0,0.08543600996770519,0.38809135100347425,0.0268594249245874,-0.0001791729514665774,0.965,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
7,0,0,0.09163192767141348,0.35680781065623957,0.05750176109947816,0.0570160108751403,0.965,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
7,1,0,0.07428441316331427,0.44954297952982514,0.03991258179301416,0.03990921623391111,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,4,3999,0
