label,command_vx,command_vy,command_wz,seed,fell,survival_s,lin_vel_err,yaw_rate_err,distance_m,mean_height_m,mean_tilt_rad,pushes_applied,pushes_survived,terrain_difficulty
terrain-bumpy-s1,0.3,0.0,0.0,0,False,10.0,0.3609857885580924,0.3977032752867995,2.942072629928589,-0.02300967989761525,0.042961134614966597,0,0,0.1
terrain-bumpy-s1,0.3,0.0,0.0,1,False,10.0,0.3581919384830528,0.4328345201888846,2.917860984802246,-0.02386045194056027,0.04155003234329587,0,0,0.1
terrain-bumpy-s1,0.3,0.0,0.0,2,False,10.0,0.3532098914268944,0.4198727836811708,2.9064934253692627,-0.023689965632262174,0.04198305291452284,0,0,0.1
terrain-bumpy-s1,0.3,0.0,0.0,3,False,10.0,0.36239557395378746,0.45002101004020206,2.895272731781006,-0.02361005314184473,0.043459094719500636,0,0,0.1
terrain-bumpy-s1,0.3,0.0,0.0,4,False,10.0,0.35873152948088116,0.42244947002062366,2.9292542934417725,-0.02378462588445947,0.04215562665650036,0,0,0.1
terrain-bumpy-s1,0.5,0.0,0.0,0,False,10.0,0.4072430232995086,0.3152613557916549,4.802584648132324,-0.03229334740690599,0.05482382747296368,0,0,0.1
terrain-bumpy-s1,0.5,0.0,0.0,1,False,10.0,0.42260957568883895,0.34895838603687784,4.807059288024902,-0.03254370172623648,0.054186776949931605,0,0,0.1
terrain-bumpy-s1,0.5,0.0,0.0,2,False,10.0,0.4293826029366917,0.3686148433470064,4.846601486206055,-0.03211018198217039,0.0567687265471674,0,0,0.1
terrain-bumpy-s1,0.5,0.0,0.0,3,False,10.0,0.4237598134411706,0.35922949909232554,4.733137130737305,-0.028998111266455982,0.056393974388579585,0,0,0.1
terrain-bumpy-s1,0.5,0.0,0.0,4,False,10.0,0.4311316343314118,0.378784476771996,4.829658508300781,-0.031680386749181985,0.05617882814415719,0,0,0.1
terrain-bumpy-s1,-0.2,0.0,0.0,0,False,10.0,0.2660385558505853,0.22437143544149069,1.7774171829223633,-0.020121692304064867,0.10932220357469137,0,0,0.1
terrain-bumpy-s1,-0.2,0.0,0.0,1,False,10.0,0.25258839199940364,0.2173696528147492,1.5584734678268433,-0.02299614003079624,0.10728617619328007,0,0,0.1
terrain-bumpy-s1,-0.2,0.0,0.0,2,False,10.0,0.2612437195248074,0.23601478179218247,1.6381474733352661,-0.021298541120436342,0.10923633912345546,0,0,0.1
terrain-bumpy-s1,-0.2,0.0,0.0,3,False,10.0,0.26175933048956923,0.24424559975767302,1.514350175857544,-0.021938690979963062,0.10381525299852955,0,0,0.1
terrain-bumpy-s1,-0.2,0.0,0.0,4,False,10.0,0.2618926168936822,0.20809047231605898,1.5938689708709717,-0.021995182232076922,0.10594450202862024,0,0,0.1
terrain-bumpy-s1,0.0,0.2,0.0,0,False,10.0,0.19077551565236517,0.04781589313229132,0.4309034049510956,-0.025991018217236934,0.04725684979062073,0,0,0.1
terrain-bumpy-s1,0.0,0.2,0.0,1,False,10.0,0.18650955072500638,0.0949607799639408,0.738463819026947,-0.02735043866103708,0.03866904853221954,0,0,0.1
terrain-bumpy-s1,0.0,0.2,0.0,2,False,10.0,0.19553910895354218,0.08557146134320646,0.6333144307136536,-0.026937351392962473,0.04234932231834933,0,0,0.1
terrain-bumpy-s1,0.0,0.2,0.0,3,False,10.0,0.21731013908154434,0.13275167015588119,0.7906052470207214,-0.027769549200068182,0.043793946511193206,0,0,0.1
terrain-bumpy-s1,0.0,0.2,0.0,4,False,10.0,0.194965723372168,0.12566493076880256,0.8255589604377747,-0.027839701135815468,0.03884921876379767,0,0,0.1
terrain-bumpy-s1,0.0,0.0,0.5,0,False,10.0,0.0009530827665649768,0.49588190890900374,0.01684333011507988,-0.02553856912740673,0.03115728772947051,0,0,0.1
terrain-bumpy-s1,0.0,0.0,0.5,1,False,10.0,0.0009334627646926997,0.4930581937250422,0.011907841078937054,-0.02561768816422069,0.03238574686598916,0,0,0.1
terrain-bumpy-s1,0.0,0.0,0.5,2,False,10.0,0.001166242534705412,0.4957837542803059,0.006854096427559853,-0.025530357049355024,0.030622227600602105,0,0,0.1
terrain-bumpy-s1,0.0,0.0,0.5,3,False,10.0,0.0009872407213939974,0.4987026961055522,0.012240349315106869,-0.025540115979859165,0.030407390955309768,0,0,0.1
terrain-bumpy-s1,0.0,0.0,0.5,4,False,10.0,0.0006485499071358289,0.49616200893763157,0.007532521151006222,-0.02548895904029092,0.03041176901521728,0,0,0.1
terrain-bumpy-s1,0.3,0.0,0.5,0,False,10.0,0.38126088464425667,0.5677265704231751,0.40895333886146545,-0.026615976142441683,0.04459004021072393,0,0,0.1
terrain-bumpy-s1,0.3,0.0,0.5,1,False,10.0,0.394240410907401,0.5845636937870747,0.3361510634422302,-0.02655678590361311,0.04450278112231558,0,0,0.1
terrain-bumpy-s1,0.3,0.0,0.5,2,False,10.0,0.3848207218945026,0.5849461470738364,0.28555387258529663,-0.02632178300673471,0.04356722986705099,0,0,0.1
terrain-bumpy-s1,0.3,0.0,0.5,3,False,10.0,0.3838334595825937,0.5368290282422418,0.3413583040237427,-0.02663175799161888,0.043173326077794116,0,0,0.1
terrain-bumpy-s1,0.3,0.0,0.5,4,False,10.0,0.3745593375298712,0.5432462685555219,0.36629393696784973,-0.0263936366349169,0.04266278835157836,0,0,0.1
