label,command_vx,command_vy,command_wz,seed,fell,survival_s,lin_vel_err,yaw_rate_err,distance_m,mean_height_m,mean_tilt_rad,pushes_applied,pushes_survived,terrain_difficulty
dr-default-s1,0.3,0.0,0.0,0,False,12.0,0.31797524881633843,0.24146854919381439,3.5884697437286377,-0.049036868101792745,0.07783096853632591,3,3,0.0
dr-default-s1,0.3,0.0,0.0,1,True,3.88,0.3341040490195155,0.3315543524093098,1.0138192176818848,-0.059404935596375746,0.10794246566181392,1,0,0.0
dr-default-s1,0.3,0.0,0.0,2,False,12.0,0.3118969122523611,0.24053191643038935,3.560039758682251,-0.047449344751246236,0.07216109770603678,3,3,0.0
dr-default-s1,0.3,0.0,0.0,3,False,12.0,0.32824040989984166,0.24393846929877658,3.594407320022583,-0.048445842446205194,0.07691701341799373,3,3,0.0
dr-default-s1,0.3,0.0,0.0,4,False,12.0,0.31711248190565544,0.21758810328467834,3.820577621459961,-0.049048466614136095,0.07466901842657969,3,3,0.0
dr-default-s1,0.5,0.0,0.0,0,False,12.0,0.3060101453807544,0.2175638273568025,5.718395709991455,-0.0577968423407404,0.0614606557619267,3,3,0.0
dr-default-s1,0.5,0.0,0.0,1,False,12.0,0.3157989747144959,0.22185153769900684,5.677501201629639,-0.05731458046926539,0.06185428401422612,3,3,0.0
dr-default-s1,0.5,0.0,0.0,2,False,12.0,0.3024814290756529,0.20206873312169177,5.678542137145996,-0.05766295716096193,0.05839376659593217,3,3,0.0
dr-default-s1,0.5,0.0,0.0,3,False,12.0,0.3348843633180315,0.2491938788589323,5.486907958984375,-0.05804688022990787,0.06648613478623755,3,3,0.0
dr-default-s1,0.5,0.0,0.0,4,False,12.0,0.31005174220962956,0.19823563454969023,5.890838146209717,-0.05918151053527392,0.05657368592993835,3,3,0.0
dr-default-s1,-0.2,0.0,0.0,0,False,12.0,0.3195112780007449,0.19401000403333454,2.5360279083251953,-0.04499151672403967,0.03839645585880832,3,3,0.0
dr-default-s1,-0.2,0.0,0.0,1,False,12.0,0.32128348744728347,0.2308455759285293,2.634495258331299,-0.044712732411545136,0.033816314485886935,3,3,0.0
dr-default-s1,-0.2,0.0,0.0,2,False,12.0,0.3028783044354482,0.18465144920094065,2.593663215637207,-0.04468931752450434,0.03155392781142625,3,3,0.0
dr-default-s1,-0.2,0.0,0.0,3,False,12.0,0.3425974072990092,0.25423176899986255,2.301335573196411,-0.0452779548700818,0.041769031352445876,3,3,0.0
dr-default-s1,-0.2,0.0,0.0,4,False,12.0,0.29847284094176507,0.17827455109308094,2.444523334503174,-0.044754386671283335,0.03178779443945694,3,3,0.0
dr-default-s1,0.0,0.2,0.0,0,True,6.88,0.2648570773438836,0.16696424377119157,1.069357991218567,-0.04596935342697865,0.08201939216341636,2,1,0.0
dr-default-s1,0.0,0.2,0.0,1,True,3.6,0.306605848755974,0.2641900854704615,0.5158077478408813,-0.04915784873975155,0.10428248969166033,1,0,0.0
dr-default-s1,0.0,0.2,0.0,2,False,12.0,0.26281485005535865,0.155455799811435,1.932747483253479,-0.04238712150736672,0.06337648993963624,3,3,0.0
dr-default-s1,0.0,0.2,0.0,3,True,9.64,0.25171986577549466,0.13896043306778194,1.300930380821228,-0.04444183290929685,0.0800400299437099,3,2,0.0
dr-default-s1,0.0,0.2,0.0,4,False,12.0,0.2883620902828195,0.19036330586832428,2.109570264816284,-0.043255736157054636,0.06295817255939819,3,3,0.0
dr-default-s1,0.0,0.0,0.5,0,False,12.0,0.19503007943318648,0.174535431178837,0.15021035075187683,-0.042820345753632943,0.04037687362470741,3,3,0.0
dr-default-s1,0.0,0.0,0.5,1,False,12.0,0.20445052119141274,0.22681048333644868,0.3624670207500458,-0.04296462755559615,0.0396731009964188,3,3,0.0
dr-default-s1,0.0,0.0,0.5,2,False,12.0,0.20377532319589095,0.18217214142057028,0.24165643751621246,-0.042615541714303276,0.040757301697195346,3,3,0.0
dr-default-s1,0.0,0.0,0.5,3,False,12.0,0.18489633823321625,0.1601925231956623,0.034162893891334534,-0.0425730441224534,0.040354763712588754,3,3,0.0
dr-default-s1,0.0,0.0,0.5,4,False,12.0,0.18929937134412203,0.15381325827403503,0.07776954025030136,-0.04304515871546476,0.04120105235471,3,3,0.0
dr-default-s1,0.3,0.0,0.5,0,False,12.0,0.3120278924297203,0.24564405130053107,0.20044006407260895,-0.047451290628638156,0.07071589598414371,3,3,0.0
dr-default-s1,0.3,0.0,0.5,1,False,12.0,0.3136782740632241,0.22485149316489697,0.29521504044532776,-0.04886055155427863,0.0708963505673405,3,3,0.0
dr-default-s1,0.3,0.0,0.5,2,False,12.0,0.320172205011953,0.23275859639048577,0.3534490466117859,-0.048602937223625416,0.07151316274847078,3,3,0.0
dr-default-s1,0.3,0.0,0.5,3,False,12.0,0.306261005631902,0.22475375248881227,0.1577475666999817,-0.04669823072350805,0.06865368141741861,3,3,0.0
dr-default-s1,0.3,0.0,0.5,4,False,12.0,0.3409494098411365,0.29440625284671446,0.5287573337554932,-0.04910344148684894,0.0763308854016943,3,3,0.0
