label,command_vx,command_vy,command_wz,seed,fell,survival_s,lin_vel_err,yaw_rate_err,distance_m,mean_height_m,mean_tilt_rad,pushes_applied,pushes_survived,terrain_difficulty
push-adaptive-s0,0.3,0.0,0.0,0,False,12.0,0.26686037912287497,0.4120301804757169,3.368525505065918,-0.05469180806730784,0.044329173679948715,3,3,0.0
push-adaptive-s0,0.3,0.0,0.0,1,True,9.88,0.2583612461767352,0.43560436141293346,2.2823567390441895,-0.055672765003270105,0.05944407097169529,3,2,0.0
push-adaptive-s0,0.3,0.0,0.0,2,False,12.0,0.2534307179938663,0.4053459329994141,2.8584463596343994,-0.054934421082428,0.042631754045954144,3,3,0.0
push-adaptive-s0,0.3,0.0,0.0,3,False,12.0,0.2665706412189386,0.3754522435559193,3.0894782543182373,-0.0538601755033906,0.045199726175009315,3,3,0.0
push-adaptive-s0,0.3,0.0,0.0,4,False,12.0,0.27495401526885954,0.4039808460138738,3.3922476768493652,-0.055413806859534134,0.04446468317687474,3,3,0.0
push-adaptive-s0,0.5,0.0,0.0,0,False,12.0,0.3153881411389871,0.40365897760641845,5.694579601287842,-0.05737931477154951,0.04974078365976768,3,3,0.0
push-adaptive-s0,0.5,0.0,0.0,1,True,4.16,0.42881721625976926,0.6593037785702869,1.7076170444488525,-0.06237571902836325,0.13340944342619038,1,0,0.0
push-adaptive-s0,0.5,0.0,0.0,2,False,12.0,0.31850231452083044,0.4118592637749283,5.5856194496154785,-0.057109135520075245,0.05054228119836598,3,3,0.0
push-adaptive-s0,0.5,0.0,0.0,3,False,12.0,0.314313280900771,0.434742422146638,5.7654547691345215,-0.057459558227514564,0.05019090912674349,3,3,0.0
push-adaptive-s0,0.5,0.0,0.0,4,False,12.0,0.33455565989694813,0.4468440122707662,5.98877477645874,-0.058455100532144914,0.053881245406905226,3,3,0.0
push-adaptive-s0,-0.2,0.0,0.0,0,False,12.0,0.21255728648467498,0.2963803890948607,2.218785047531128,-0.05748906058895075,0.07284907145351605,3,3,0.0
push-adaptive-s0,-0.2,0.0,0.0,1,False,12.0,0.22118198201060296,0.30796621023423293,2.180248737335205,-0.05679864126035041,0.07427588880302692,3,3,0.0
push-adaptive-s0,-0.2,0.0,0.0,2,False,12.0,0.22620011485266414,0.301158618922557,2.3603460788726807,-0.057451972407325955,0.07468356549504497,3,3,0.0
push-adaptive-s0,-0.2,0.0,0.0,3,False,12.0,0.21223186293955554,0.3025336682786953,1.9916670322418213,-0.05712446203152764,0.07201605909809243,3,3,0.0
push-adaptive-s0,-0.2,0.0,0.0,4,False,12.0,0.21130833726714957,0.28215789962009613,2.0065560340881348,-0.058718991645382655,0.07112013127530599,3,3,0.0
push-adaptive-s0,0.0,0.2,0.0,0,False,12.0,0.27161925345659255,0.24726899723522366,1.496598243713379,-0.052564223463467,0.0628072984268776,3,3,0.0
push-adaptive-s0,0.0,0.2,0.0,1,True,3.7600000000000002,0.2709359025609666,0.37140687405253237,0.3340791165828705,-0.04328299913969917,0.14556324412923902,1,0,0.0
push-adaptive-s0,0.0,0.2,0.0,2,False,12.0,0.25060427582738076,0.19138649589101656,1.3037288188934326,-0.04874241192912468,0.07092438077929106,3,3,0.0
push-adaptive-s0,0.0,0.2,0.0,3,True,9.52,0.24123501183001647,0.21443249841807946,0.8264772891998291,-0.0470576718008469,0.09177502473088048,3,2,0.0
push-adaptive-s0,0.0,0.2,0.0,4,False,12.0,0.24969177689064634,0.24422026013637976,1.8963165283203125,-0.05122044989985419,0.05166243512161215,3,3,0.0
push-adaptive-s0,0.0,0.0,0.5,0,False,12.0,0.024280905451371588,0.5035581913608422,0.01617356576025486,-0.06682901622619213,0.02586004023022973,3,3,0.0
push-adaptive-s0,0.0,0.0,0.5,1,False,12.0,0.027729946069779212,0.5056313967410758,0.03632558509707451,-0.06543358400414974,0.026125136464288993,3,3,0.0
push-adaptive-s0,0.0,0.0,0.5,2,False,12.0,0.026547728387840006,0.5009049933163227,0.011748697608709335,-0.066506403248564,0.02610298612327803,3,3,0.0
push-adaptive-s0,0.0,0.0,0.5,3,False,12.0,0.023798473667226393,0.5023550762477416,0.019017932936549187,-0.06710487195989596,0.027679806087460804,3,3,0.0
push-adaptive-s0,0.0,0.0,0.5,4,False,12.0,0.02093724237395112,0.4978036334177225,0.03235669806599617,-0.06764632915867454,0.024562384715846722,3,3,0.0
push-adaptive-s0,0.3,0.0,0.5,0,False,12.0,0.2540071638538079,0.42040795004079967,1.5847690105438232,-0.05405347830820288,0.040417586611251395,3,3,0.0
push-adaptive-s0,0.3,0.0,0.5,1,False,12.0,0.26392006584189154,0.46370051093738185,2.0193514823913574,-0.055992427462190526,0.04588030631282563,3,3,0.0
push-adaptive-s0,0.3,0.0,0.5,2,False,12.0,0.272304427484897,0.41708327980542725,1.8142184019088745,-0.05418793519487505,0.04955747840473555,3,3,0.0
push-adaptive-s0,0.3,0.0,0.5,3,False,12.0,0.2481412641771815,0.4071222965208687,1.802653193473816,-0.05359882050034064,0.039306238643119086,3,3,0.0
push-adaptive-s0,0.3,0.0,0.5,4,False,12.0,0.26091632578183305,0.3983174151114442,1.4925966262817383,-0.05421983300957205,0.04104726655811777,3,3,0.0
