label,command_vx,command_vy,command_wz,seed,fell,survival_s,lin_vel_err,yaw_rate_err,distance_m,mean_height_m,mean_tilt_rad,pushes_applied,pushes_survived,terrain_difficulty
arms-dr1.0-s0,0.3,0.0,0.0,0,False,12.0,0.29918340839106927,0.1963628505858254,3.610792875289917,-0.04851135967989846,0.041167004256289476,3,3,0.0
arms-dr1.0-s0,0.3,0.0,0.0,1,False,12.0,0.3161813553219492,0.1934895126003539,3.5761449337005615,-0.049169847874641064,0.04499310748253036,3,3,0.0
arms-dr1.0-s0,0.3,0.0,0.0,2,False,12.0,0.30293588634241714,0.18644059864380821,3.4841010570526123,-0.048069268192138616,0.04365921124533687,3,3,0.0
arms-dr1.0-s0,0.3,0.0,0.0,3,False,12.0,0.2820789818872105,0.18266107421241362,3.5057897567749023,-0.047803037873257605,0.03828840968368465,3,3,0.0
arms-dr1.0-s0,0.3,0.0,0.0,4,False,12.0,0.28549899469045076,0.17320446555862543,3.251345634460449,-0.04654953646023564,0.03755861536928007,3,3,0.0
arms-dr1.0-s0,0.5,0.0,0.0,0,False,12.0,0.34307216536253693,0.2595455012967895,5.990926742553711,-0.0626926722950323,0.04579318463405371,3,3,0.0
arms-dr1.0-s0,0.5,0.0,0.0,1,False,12.0,0.3596877505139194,0.27153812978797676,5.959955215454102,-0.06396894502848147,0.049254694822666194,3,3,0.0
arms-dr1.0-s0,0.5,0.0,0.0,2,False,12.0,0.3695369506356391,0.26992986717600037,6.015379428863525,-0.06355475597456099,0.048188344729155085,3,3,0.0
arms-dr1.0-s0,0.5,0.0,0.0,3,False,12.0,0.3540416500446471,0.2810913671485402,5.709449768066406,-0.06514960291369358,0.04873803699745035,3,3,0.0
arms-dr1.0-s0,0.5,0.0,0.0,4,False,12.0,0.3242857976122336,0.25992613184138796,5.451866149902344,-0.06056295885673574,0.038867480309662146,3,3,0.0
arms-dr1.0-s0,-0.2,0.0,0.0,0,False,12.0,0.3543882341818376,0.13141108736565169,2.276352882385254,-0.042766535909761004,0.10769930501847054,3,3,0.0
arms-dr1.0-s0,-0.2,0.0,0.0,1,False,12.0,0.36850960620424966,0.12736847829666328,2.2698416709899902,-0.042679961775806304,0.10858626212068745,3,3,0.0
arms-dr1.0-s0,-0.2,0.0,0.0,2,False,12.0,0.34075169389898124,0.12148662290027873,2.190591812133789,-0.04205436018846551,0.10747114658357816,3,3,0.0
arms-dr1.0-s0,-0.2,0.0,0.0,3,False,12.0,0.38944230729883367,0.1607238003458108,3.201111078262329,-0.041588527290119505,0.10911498001627429,3,3,0.0
arms-dr1.0-s0,-0.2,0.0,0.0,4,False,12.0,0.4089029104059393,0.17096926371842114,3.5318355560302734,-0.04153314126289052,0.1103659847361525,3,3,0.0
arms-dr1.0-s0,0.0,0.2,0.0,0,False,12.0,0.30874065300280396,0.11868520164523612,1.468023419380188,-0.04433062482443916,0.06291160172039362,3,3,0.0
arms-dr1.0-s0,0.0,0.2,0.0,1,False,12.0,0.3068260095133023,0.11575362941805824,1.074295997619629,-0.045893355767343075,0.056492564236179585,3,3,0.0
arms-dr1.0-s0,0.0,0.2,0.0,2,False,12.0,0.3061994039131836,0.11490327750671317,1.4925570487976074,-0.044866285997178824,0.058809713525140986,3,3,0.0
arms-dr1.0-s0,0.0,0.2,0.0,3,False,12.0,0.3207666457647627,0.1436216781143131,1.691105604171753,-0.04411137342386338,0.057328377999840543,3,3,0.0
arms-dr1.0-s0,0.0,0.2,0.0,4,False,12.0,0.35191153986887497,0.15334668303585866,2.102487802505493,-0.04332294744268597,0.06265758553033124,3,3,0.0
arms-dr1.0-s0,0.0,0.0,0.5,0,False,12.0,0.12100272202218713,0.38848858403515224,0.041479483246803284,-0.04247623087143106,0.08270937530937801,3,3,0.0
arms-dr1.0-s0,0.0,0.0,0.5,1,False,12.0,0.10596616688676559,0.41052905795884065,0.15781792998313904,-0.04374320123099124,0.07794298192210267,3,3,0.0
arms-dr1.0-s0,0.0,0.0,0.5,2,False,12.0,0.12174910729994405,0.3729215689992998,0.1172383651137352,-0.0427619367905136,0.07842963713356477,3,3,0.0
arms-dr1.0-s0,0.0,0.0,0.5,3,False,12.0,0.12229886543759759,0.4000810260932485,0.2820172607898712,-0.04327389908354945,0.07641683085584414,3,3,0.0
arms-dr1.0-s0,0.0,0.0,0.5,4,False,12.0,0.08975737007350704,0.42769576995774433,0.39756840467453003,-0.0429214367960594,0.07465388772087961,3,3,0.0
arms-dr1.0-s0,0.3,0.0,0.5,0,True,7.24,0.38892790945008016,0.3373394267908178,1.3189928531646729,-0.05397419637441997,0.09748593484619258,2,1,0.0
arms-dr1.0-s0,0.3,0.0,0.5,1,True,7.04,0.37381395938133954,0.3018142134938019,1.2696994543075562,-0.05578947854169923,0.07232671086812757,2,1,0.0
arms-dr1.0-s0,0.3,0.0,0.5,2,False,12.0,0.3084334562651136,0.2219048627279699,0.41604840755462646,-0.048327361849719794,0.039381246509456444,3,3,0.0
arms-dr1.0-s0,0.3,0.0,0.5,3,False,12.0,0.3109312085197731,0.22809042706408283,0.40022945404052734,-0.047493635749336224,0.040258201287811435,3,3,0.0
arms-dr1.0-s0,0.3,0.0,0.5,4,True,4.12,0.39841303733798367,0.30289608302812737,0.7633861899375916,-0.04974342323593409,0.10148620862605873,1,0,0.0
