label,command_vx,command_vy,command_wz,seed,fell,survival_s,lin_vel_err,yaw_rate_err,distance_m,mean_height_m,mean_tilt_rad,pushes_applied,pushes_survived,terrain_difficulty
arms-push-s1,0.3,0.0,0.0,0,False,10.0,0.3432960667543941,0.2397017288611581,2.8221445083618164,-0.047534171232270966,0.033332412985876005,3,3,0.0
arms-push-s1,0.3,0.0,0.0,1,False,10.0,0.3434813455782003,0.22931831529674432,2.8744890689849854,-0.04782044102110463,0.029713856531349076,3,3,0.0
arms-push-s1,0.3,0.0,0.0,2,False,10.0,0.34113481520778605,0.24903396577884754,2.9208619594573975,-0.047022114268118094,0.036378278585056795,3,3,0.0
arms-push-s1,0.3,0.0,0.0,3,False,10.0,0.3205672038263745,0.22614331829102916,2.722294330596924,-0.047126320966057636,0.024955206790213718,3,3,0.0
arms-push-s1,0.3,0.0,0.0,4,False,10.0,0.32054047132531804,0.23049573575819118,2.503331422805786,-0.04597416731554168,0.026618002302014183,3,3,0.0
arms-push-s1,0.5,0.0,0.0,0,False,10.0,0.37913043434421223,0.2772170239029219,4.797396659851074,-0.06019873791962549,0.036897700088959734,3,3,0.0
arms-push-s1,0.5,0.0,0.0,1,False,10.0,0.40024856795867286,0.2697674813411302,4.86483907699585,-0.060300170941886395,0.041744919611903776,3,3,0.0
arms-push-s1,0.5,0.0,0.0,2,True,3.72,0.4055863018421566,0.3628559503978228,1.6200017929077148,-0.07557468563908207,0.08254067478851573,1,0,0.0
arms-push-s1,0.5,0.0,0.0,3,False,10.0,0.37769388925698066,0.2691847620086951,4.811125755310059,-0.0626984613430455,0.03618510008551232,3,3,0.0
arms-push-s1,0.5,0.0,0.0,4,False,10.0,0.38529687750670644,0.2807173472642899,4.385692596435547,-0.05721443873013373,0.03454254996117534,3,3,0.0
arms-push-s1,-0.2,0.0,0.0,0,False,10.0,0.3094925670325756,0.13055943490730393,2.3081328868865967,-0.041652059993981264,0.10595564521699148,3,3,0.0
arms-push-s1,-0.2,0.0,0.0,1,False,10.0,0.32657461113399927,0.1486311817345106,2.3351736068725586,-0.04151402525929672,0.10737920651005403,3,3,0.0
arms-push-s1,-0.2,0.0,0.0,2,False,10.0,0.3165145136581527,0.1431296878390842,2.344137668609619,-0.0409509211932633,0.11224469526710983,3,3,0.0
arms-push-s1,-0.2,0.0,0.0,3,False,10.0,0.3425345256179571,0.14722556399647146,2.524358034133911,-0.041391997375508346,0.10866210654831658,3,3,0.0
arms-push-s1,-0.2,0.0,0.0,4,False,10.0,0.38859605226251814,0.20136109513334102,2.974116325378418,-0.04279629498977032,0.11279492997023526,3,3,0.0
arms-push-s1,0.0,0.2,0.0,0,False,10.0,0.3065434592879481,0.14794033810276436,1.4618828296661377,-0.04454537375849704,0.0645343211309188,3,3,0.0
arms-push-s1,0.0,0.2,0.0,1,False,10.0,0.2964318011121617,0.12851386736767986,0.8895840048789978,-0.04522961567480176,0.06174302616121532,3,3,0.0
arms-push-s1,0.0,0.2,0.0,2,True,3.84,0.38313271771644203,0.21027907351372946,0.6367136240005493,-0.054069988966940825,0.11418826019646891,1,0,0.0
arms-push-s1,0.0,0.2,0.0,3,False,10.0,0.3125119170629316,0.12330432669130258,0.9776517748832703,-0.04540820936916036,0.06256209871437578,3,3,0.0
arms-push-s1,0.0,0.2,0.0,4,False,10.0,0.31744534665511714,0.1134971679274329,1.1101852655410767,-0.042660099918576944,0.06802944108496338,3,3,0.0
arms-push-s1,0.0,0.0,0.5,0,False,10.0,0.09598132084308114,0.3983219775919295,0.09124559909105301,-0.04207535209745916,0.05963069434468771,3,3,0.0
arms-push-s1,0.0,0.0,0.5,1,False,10.0,0.11523215252438807,0.3911899196788161,0.16704866290092468,-0.04401681874173322,0.05806136532410603,3,3,0.0
arms-push-s1,0.0,0.0,0.5,2,False,10.0,0.09676898856482391,0.3988176340494344,0.1096782237291336,-0.04217687100936454,0.060028420622840716,3,3,0.0
arms-push-s1,0.0,0.0,0.5,3,False,10.0,0.130872494627644,0.3722329059612659,0.23199762403964996,-0.04379271770449879,0.06378118330179111,3,3,0.0
arms-push-s1,0.0,0.0,0.5,4,False,10.0,0.10174872355483887,0.4027586306501568,0.407345712184906,-0.04190992403697319,0.06301224117549828,3,3,0.0
arms-push-s1,0.3,0.0,0.5,0,False,10.0,0.38094419987665284,0.2626722094623579,0.80675208568573,-0.04734785471203076,0.04796628796516424,3,3,0.0
arms-push-s1,0.3,0.0,0.5,1,False,10.0,0.34559435901749463,0.22180020838561984,0.3314974009990692,-0.04779802665239421,0.03630673068192881,3,3,0.0
arms-push-s1,0.3,0.0,0.5,2,False,10.0,0.36291913493950334,0.2229176439344883,0.3077734112739563,-0.04870548809289726,0.03811460828791166,3,3,0.0
arms-push-s1,0.3,0.0,0.5,3,False,10.0,0.3443549183342192,0.23997829345365365,0.3803847134113312,-0.0474392100117382,0.035240669668651234,3,3,0.0
arms-push-s1,0.3,0.0,0.5,4,False,10.0,0.3696326881274581,0.2496620493258039,0.8091171979904175,-0.049184995396714046,0.0419766246058002,3,3,0.0
